,Total lipid (fat),Saturated fat,Cholesterol,Total carbohydrates,Sodium,Dietary Fiber,Protein,Added sugars,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Biotin,Pantothenic acid,Phosphorus,Iodine,Magnesium,Zinc,Selenium,Copper,Manganese,Chromium,Molybdenum,Chloride,Potassium,Choline,Protein.1,title,raitings,links
maple syrup,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apple, Dried Cherry, and Walnut Salad with Maple Dressing",4.6,https://www.epicurious.com/recipes/food/views/apple-dried-cherry-and-walnut-salad-with-maple-dressing-107064
margarita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cosmopolitan Champagne Cocktail,4.6,https://www.epicurious.com/recipes/food/views/cosmopolitan-champagne-cocktail-104447
marsala,73,0,0,0,76,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chicken Marsala,4.7,https://www.epicurious.com/recipes/food/views/chicken-marsala-232152
marscarpone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chicken Marsala,4.7,https://www.epicurious.com/recipes/food/views/chicken-marsala-232152
marshmallow,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Sweet Potatoes With Marshmallows and Brown-Sugar Glaze,4.7,https://www.epicurious.com/recipes/food/views/brown-sugar-glazed-sweet-potatoes-with-marshmallows-813
mayonnaise,32,0,12,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caesar Mayonnaise Dressing,4.7,https://www.epicurious.com/recipes/food/views/caesar-mayonnaise-dressing-11892
meat,15,0,19,0,10,0,36,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,Chicken Breasts Stuffed with Goat Cheese and Basil,4.3,https://www.epicurious.com/recipes/food/views/chicken-breasts-stuffed-with-goat-cheese-and-basil-2749
meatball,12,0,1,0,22,0,14,0,17,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,Spaghetti with Sicilian Meatballs,4.6,https://www.epicurious.com/recipes/food/views/spaghetti-with-sicilian-meatballs-102117
meatloaf,20,0,16,0,15,0,28,0,49,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,Turkey Meatloaf,4.7,https://www.epicurious.com/recipes/food/views/turkey-meatloaf-107599
melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tomato-Watermelon Salad with Feta and Toasted Almonds,4.6,https://www.epicurious.com/recipes/food/views/tomato-watermelon-salad-with-feta-and-toasted-almonds-235588
mezcal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"My Trademark, Most Requested, Absolutely Magnificent Caramel Matzoh Crunch",4.6,https://www.epicurious.com/recipes/food/views/my-trademark-most-requested-absolutely-magnificent-caramel-matzoh-crunch-109117
milk/cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Simple Hot Cocoa for One,4.4,https://www.epicurious.com/recipes/food/views/simple-hot-cocoa-for-one-369469
mint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ginger Spice Cookies,4.7,https://www.epicurious.com/recipes/food/views/ginger-spice-cookies-103156
molasses,0,0,0,0,3,0,0,0,0,0,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Molasses Cookies,4.4,https://www.epicurious.com/recipes/food/views/molasses-cookies
monterey jack,37,0,0,0,18,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Creamed Corn Gratin with Fried Onion Rings and Bacon,4.4,https://www.epicurious.com/recipes/food/views/creamed-corn-gratin-with-fried-onion-rings-and-bacon-108827
mozzarella,67,0,13,0,28,0,36,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,Three-Cheese Fondue with Champagne,4.5,https://www.epicurious.com/recipes/food/views/three-cheese-fondue-with-champagne-104710
muffin,11,0,16,0,13,0,9,0,24,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Banana Chocolate Chip Muffins,4.3,https://www.epicurious.com/recipes/food/views/banana-chocolate-chip-muffins-101020
mushroom,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Sausage-Stuffed Mushrooms,4.6,https://www.epicurious.com/recipes/food/views/sausage-stuffed-mushrooms-107246
mussel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spicy Thai Steamed Mussels,4.7,https://www.epicurious.com/recipes/food/views/spicy-thai-steamed-mussels-101999
mustard,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Triple-Layer Carrot Cake with Cream Cheese Frosting,4.7,https://www.epicurious.com/recipes/food/views/triple-layer-carrot-cake-with-cream-cheese-frosting-799
mustard greens,0,0,0,0,1,0,5,0,76,78,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Mustard-Crusted Tofu with Kale and Sweet Potato,3.6,https://www.epicurious.com/recipes/food/views/mustard-crusted-tofu-with-kale-and-sweet-potato-239827
nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grilled Scallops and Nectarines with Corn and Tomato Salad,4.3,https://www.epicurious.com/recipes/food/views/grilled-scallops-and-nectarines-with-corn-and-tomato-salad-242982
nut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chocolate-Walnut Rum Balls,4.3,https://www.epicurious.com/recipes/food/views/chocolate-walnut-rum-balls-4587
nutmeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Old-Fashioned Raspberry Jam,4.4,https://www.epicurious.com/recipes/food/views/old-fashioned-raspberry-jam-230700
oat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chocolate Chunk Oatmeal Coconut Cookies,4.5,https://www.epicurious.com/recipes/food/views/chocolate-chunk-oatmeal-coconut-cookies-105431
oatmeal,7,0,0,0,21,0,16,0,13,0,21,14,0,0,0,0,35,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Jose's Oatmeal Peanut Butter Chocolate Chip Cookies,4.5,https://www.epicurious.com/recipes/food/views/joses-oatmeal-peanut-butter-chocolate-chip-cookies-11797
octopus,2,0,0,0,26,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,33,Cioppino,4.7,https://www.epicurious.com/recipes/food/views/cioppino-106263
okra,0,0,0,0,0,0,5,0,40,24,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Hot Crab Dip,4.0,https://www.epicurious.com/recipes/food/views/hot-crab-dip-233213
olive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lemon Pasta Salad with Tomatoes and Feta,4.0,https://www.epicurious.com/recipes/food/views/lemon-pasta-salad-with-tomatoes-and-feta-108437
omelet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chorizo and Potato Spanish Tortilla Bites,4.0,https://www.epicurious.com/recipes/food/views/chorizo-and-potato-spanish-tortilla-bites-236695
onion,1,0,0,0,19,0,22,0,9,0,1,20,0,0,0,83,26,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,French Onion Soup,4.5,https://www.epicurious.com/recipes/food/views/french-onion-soup-1858
orange,0,0,0,0,17,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Citrus Tilapia,4.4,https://www.epicurious.com/recipes/food/views/citrus-tilapia-356149
orange juice,0,0,0,0,1,0,3,0,0,56,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,Citrus Tilapia,4.4,https://www.epicurious.com/recipes/food/views/citrus-tilapia-356149
oregano,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,"Grilled Chicken with Oregano, Cinnamon and Paprika",4.3,https://www.epicurious.com/recipes/food/views/grilled-chicken-with-oregano-cinnamon-and-paprika-103510
oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spinach and Lentil Salad with Oregon Blue Cheese and Tart Cherry Vinaigrette,4.6,https://www.epicurious.com/recipes/food/views/spinach-and-lentil-salad-with-oregon-blue-cheese-and-tart-cherry-vinaigrette-14472
orzo,2,0,0,0,0,0,25,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"Orzo with Tomatoes, Feta, and Green Onions",4.6,https://www.epicurious.com/recipes/food/views/orzo-with-tomatoes-feta-and-green-onions-234414
oyster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pumpkin and Shrimp Bisque,4.5,https://www.epicurious.com/recipes/food/views/pumpkin-and-shrimp-bisque-104123
pancake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Toffee Crunch Caramel Cheesecake,4.4,https://www.epicurious.com/recipes/food/views/toffee-crunch-caramel-cheesecake-231417
papaya,0,0,0,0,1,0,5,0,20,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Brie, Papaya and Onion Quesadillas",4.0,https://www.epicurious.com/recipes/food/views/brie-papaya-and-onion-quesadillas-4460
paprika,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moroccan Chicken Pot Pie,4.5,https://www.epicurious.com/recipes/food/views/moroccan-chicken-pot-pie-240752
parmesan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Parmesan Chicken,4.0,https://www.epicurious.com/recipes/food/views/parmesan-chicken-105912
parsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kale and Brussels Sprouts Salad,5.0,https://www.epicurious.com/recipes/food/views/kale-brussels-sprout-salad-368295
parsnip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Parmesan-Roasted Butternut Squash,4.3,https://www.epicurious.com/recipes/food/views/parmesan-roasted-butternut-squash-350608
passion fruit,0,0,0,0,6,0,4,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Avocado and Mango Salad with Passion Fruit Vinaigrette,4.5,https://www.epicurious.com/recipes/food/views/avocado-and-mango-salad-with-passion-fruit-vinaigrette-231721
pasta,2,0,0,0,0,0,25,0,0,0,0,18,0,0,0,83,35,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,Three-Cheese Lasagna with Italian Sausage,4.5,https://www.epicurious.com/recipes/food/views/three-cheese-lasagna-with-italian-sausage-3152
pea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Easy Split Pea Soup,4.6,https://www.epicurious.com/recipes/food/views/easy-split-pea-soup-1919
peach,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Peach Cobbler,4.4,https://www.epicurious.com/recipes/food/views/peach-cobbler-102277
peanut,27,0,6,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Chocolate Chip Banana Bread With Walnuts,4.3,https://www.epicurious.com/recipes/food/views/chocolate-chip-banana-bread-with-walnuts
peanut butter,60,0,0,0,19,0,44,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,Chocolate Chip Banana Bread With Walnuts,4.3,https://www.epicurious.com/recipes/food/views/chocolate-chip-banana-bread-with-walnuts
pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upside-Down Pear Gingerbread Cake,4.3,https://www.epicurious.com/recipes/food/views/upside-down-pear-gingerbread-cake-106181
pecan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kale and Brussels Sprouts Salad,5.0,https://www.epicurious.com/recipes/food/views/kale-brussels-sprout-salad-368295
pepper,0,0,0,0,0,0,0,0,21,23,34,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spicy Two-Bean Vegetarian Chili,4.4,https://www.epicurious.com/recipes/food/views/spicy-two-bean-vegetarian-chili-107274
pernod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Orzo with Feta, Tomatoes, and Dill",4.3,https://www.epicurious.com/recipes/food/views/orzo-with-feta-tomatoes-and-dill-242827
persian new year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Persian Love Cake,4.5,https://www.epicurious.com/recipes/food/views/persian-love-cake-232273
persimmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Persimmon Cranberry Sauce,4.6,https://www.epicurious.com/recipes/food/views/persimmon-cranberry-sauce-233000
phyllo/puff pastry dough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rugelach,5.0,https://www.epicurious.com/recipes/food/views/rugelach-cookies
pickles,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smoked Sausage, Kale and Potato Soup",4.0,https://www.epicurious.com/recipes/food/views/smoked-sausage-kale-and-potato-soup-3114
pie,11,0,10,0,12,0,10,0,46,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Cinnamon Apple Crumb Pie,4.7,https://www.epicurious.com/recipes/food/views/cinnamon-crumble-apple-pie-108650
pine nut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Orzo, Pine Nut, and Feta Salad",4.0,https://www.epicurious.com/recipes/food/views/orzo-pine-nut-and-feta-salad-105422
pineapple,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Pineapple-Cardamom Upside-Down Cake,4.4,https://www.epicurious.com/recipes/food/views/pineapple-upside-down-cake-103088
pistachio,12,0,7,0,5,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,Beet and Goat Cheese Salad with Pistachios,5.0,https://www.epicurious.com/recipes/food/views/beet-and-goat-cheese-salad-with-pistachios-107426
pizza,16,0,7,0,16,0,20,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,Pizza Dough,4.4,https://www.epicurious.com/recipes/food/views/pizza-dough-237338
plantain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fried Plantains,4.0,https://www.epicurious.com/recipes/food/views/fried-plantains-10024
plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plum Upside-Down Cake,4.7,https://www.epicurious.com/recipes/food/views/plum-upside-down-cake-288
poach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warm Spinach-Parmesan Dip,4.0,https://www.epicurious.com/recipes/food/views/warm-spinach-parmesan-dip-101028
poblano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Poblano Corn Chowder with Shrimp,4.6,https://www.epicurious.com/recipes/food/views/poblano-corn-chowder-with-shrimp-107062
pomegranate,27,0,0,0,8,0,29,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Mango Pomegranate Guacamole,5.0,https://www.epicurious.com/recipes/food/views/mango-pomegranate-guacamole-350568
pomegranate juice,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,Mango Pomegranate Guacamole,5.0,https://www.epicurious.com/recipes/food/views/mango-pomegranate-guacamole-350568
poppy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Persian Love Cake,4.5,https://www.epicurious.com/recipes/food/views/persian-love-cake-232273
pork,3,0,3,0,51,0,13,0,42,17,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Island Pork Tenderloin Salad,4.7,https://www.epicurious.com/recipes/food/views/island-pork-tenderloin-salad-108103
pork chop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pork Tenderloin with Balsamic-Cranberry Sauce,4.5,https://www.epicurious.com/recipes/food/views/pork-tenderloin-with-balsamic-cranberry-sauce-100314
pork rib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pork Tenderloin with Balsamic-Cranberry Sauce,4.5,https://www.epicurious.com/recipes/food/views/pork-tenderloin-with-balsamic-cranberry-sauce-100314
pork tenderloin,14,0,15,0,22,0,32,0,20,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Island Pork Tenderloin Salad,4.7,https://www.epicurious.com/recipes/food/views/island-pork-tenderloin-salad-108103
port,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cranberry Sauce with Port and Cinnamon,4.6,https://www.epicurious.com/recipes/food/views/cranberry-sauce-with-port-and-cinnamon-240403
pot pie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cinnamon Apple Crumb Pie,4.7,https://www.epicurious.com/recipes/food/views/cinnamon-crumble-apple-pie-108650
potato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scalloped Potatoes with Three Cheeses,4.5,https://www.epicurious.com/recipes/food/views/scalloped-potatoes-with-three-cheeses-102498
poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chicken with Roasted Lemons, Green Olives, and Capers",4.3,https://www.epicurious.com/recipes/food/views/chicken-with-roasted-lemons-green-olives-and-capers-105556
poultry sausage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkey Meatloaf,4.7,https://www.epicurious.com/recipes/food/views/turkey-meatloaf-107599
prosciutto,27,0,30,0,99,0,50,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Prosciutto-Stuffed Pork Tenderloin with Mushroom Sauce,4.4,https://www.epicurious.com/recipes/food/views/prosciutto-stuffed-pork-tenderloin-with-mushroom-sauce-107649
prune,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beef Brisket with Merlot and Prunes,5.0,https://www.epicurious.com/recipes/food/views/beef-brisket-with-merlot-and-prunes-241853
pumpkin,0,0,0,0,0,0,3,0,96,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Spiced Pumpkin Bread,4.5,https://www.epicurious.com/recipes/food/views/spiced-pumpkin-bread-840
punch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beef Stew with Herbed Dumplings,4.3,https://www.epicurious.com/recipes/food/views/beef-stew-with-herbed-dumplings-100984
quail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grilled Chicken with Creamy Grits and Shiitake Mushroom Sauce,4.7,https://www.epicurious.com/recipes/food/views/grilled-chicken-with-creamy-grits-and-shiitake-mushroom-sauce-101840
quiche,20,0,31,0,17,0,20,0,65,8,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Quinoa with Moroccan Winter Squash and Carrot Stew,4.5,https://www.epicurious.com/recipes/food/views/quinoa-with-moroccan-winter-squash-and-carrot-stew-233714
quince,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quinoa with Moroccan Winter Squash and Carrot Stew,4.5,https://www.epicurious.com/recipes/food/views/quinoa-with-moroccan-winter-squash-and-carrot-stew-233714
quinoa,9,0,0,0,1,0,29,0,0,0,5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Black Bean and Tomato Quinoa,4.6,https://www.epicurious.com/recipes/food/views/black-bean-and-tomato-quinoa-238939
rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rabbit with Mustard Sauce,4.3,https://www.epicurious.com/recipes/food/views/rabbit-with-mustard-sauce-101107
rack of lamb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leg of Lamb With Garlic and Rosemary,4.7,https://www.epicurious.com/recipes/food/views/leg-of-lamb-with-garlic-and-rosemary-105020
radicchio,0,0,0,0,2,0,4,0,0,7,2,2,0,0,0,0,0,0,0,15,0,0,0,4,0,3,8,0,84,0,0,0,0,3,0,4,Beet and Goat Cheese Salad with Pistachios,5.0,https://www.epicurious.com/recipes/food/views/beet-and-goat-cheese-salad-with-pistachios-107426
radish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sautéed Chicken and Radishes with Mustard and Tarragon,4.5,https://www.epicurious.com/recipes/food/views/sauteed-chicken-and-radishes-with-mustard-and-tarragon-364591
raisin,5,0,0,0,15,0,20,0,0,7,3,17,0,0,0,0,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Rum Raisin Apple Pie,5.0,https://www.epicurious.com/recipes/food/views/rum-raisin-apple-pie-236430
raspberry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Raspberry Buttermilk Cake,4.7,https://www.epicurious.com/recipes/food/views/raspberry-buttermilk-cake-353616
red wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red Wine Pot Roast with Porcini,4.6,https://www.epicurious.com/recipes/food/views/red-wine-pot-roast-with-porcini-233926
rhubarb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strawberry-Rhubarb Pie,4.7,https://www.epicurious.com/recipes/food/views/lattice-topped-strawberry-rhubarb-pie-4459
rice,0,0,0,0,0,0,13,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,Grilled Salmon with Thai Curry Sauce and Basmati Rice,4.5,https://www.epicurious.com/recipes/food/views/grilled-salmon-with-thai-curry-sauce-and-basmati-rice-14189
ricotta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Three-Cheese Lasagna with Italian Sausage,4.5,https://www.epicurious.com/recipes/food/views/three-cheese-lasagna-with-italian-sausage-3152
root vegetable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roasted Butternut Squash Risotto,4.3,https://www.epicurious.com/recipes/food/views/roasted-butternut-squash-risotto-105725
rosemary,53,0,0,0,5,0,12,0,96,24,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"Roasted Butternut Squash, Rosemary, and Garlic Lasagne",4.5,https://www.epicurious.com/recipes/food/views/roasted-butternut-squash-rosemary-and-garlic-lasagne-13479
rosé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Persian Love Cake,4.5,https://www.epicurious.com/recipes/food/views/persian-love-cake-232273
